Name,URL,Maintained,Linux,Mac,Windows,UI,Retail,Classic,Classic “TBC”,F/OSS,Software Licence,Source Available,EULA,Ads,Language,Feature “curseforge”,Feature “wowinterface”,Feature “tukui”,Feature “VCS addons”,Feature “catalog search”,Feature “wago.io”
arnauddupuis/wocli,https://github.com/arnauddupuis/wocli,no,yes,no,no,CLI,yes,no,no,yes,GPL-2.0,yes,no,no,Perl,yes,no,no,no,yes,no
braier/wow-addon-updater,https://www.braier.net/wow-addon-updater/index.html,no,yes,yes,yes,GUI,yes,no,no,yes,GPL-2.0,yes,no,no,Pascal,yes,yes,yes,no,no,no
camas/grunt,https://github.com/camas/grunt,no,yes*,no,yes*,CLI,yes,yes,no,yes,MIT,yes,no,no,Rust,yes,no,no,no,no,no
coline-carle/zhevra,https://github.com/coline-carle/zhevra,no,yes*,yes*,yes*,CLI,yes,no,no,yes,MIT,yes,no,no,Go,yes,no,no,no,no,no
DayBr3ak/wow-better-cli,https://github.com/DayBr3ak/wow-better-cli,no,yes*,yes*,yes*,CLI,yes,no,no,yes,MIT,yes,no,no,JavaScript,yes,yes,yes,yes,no,no
ephraim/lcurse,https://github.com/ephraim/lcurse,no,yes*,yes*,yes*,GUI,yes,yes,no,no,Unlicense,yes,no,no,Python,yes,no,no,no,no,no
gdraynz/addon-installer,https://github.com/gdraynz/addon-installer,no,yes*,yes*,no,CLI,yes,no,no,no,noassertion,yes,no,no,Python,yes,no,no,no,no,no
Gonzih/wow-addon-manager,https://github.com/Gonzih/wow-addon-manager,no,yes*,yes*,yes*,CLI,yes,yes,no,yes,MIT,yes,no,no,Go,yes,no,no,no,no,no
Jerry-Ma/wowplug,https://github.com/Jerry-Ma/wowplug,no,yes*,yes*,yes*,CLI,yes,no,no,yes,BSD-3-Clause,yes,no,no,Python,yes,no,no,yes*,yes,no
JonasKnarbakk/GWAM,https://github.com/JonasKnarbakk/GWAM,no,yes*,yes*,yes*,GUI,yes,no,no,yes,GPL-3.0,yes,no,no,C++,yes,no,no,no,yes,no
karolswdev/wow,https://github.com/karolswdev/wow,no,no,yes*,yes*,CLI,no,yes,no,no,noassertion,yes,no,no,C#,no,no,no,no,yes,no
kemayo/waup,https://github.com/kemayo/waup,no,yes*,no,no,CLI,yes,no,no,yes,BSD-3-Clause,yes,no,no,Python,no,no,no,no,no,no
Kev/macaceupdater,https://github.com/Kev/macaceupdater,no,no,yes*,no,GUI,yes,no,no,yes,GPL-2.0,yes,no,no,C,no,no,no,no,no,no
Lund259/WoW-Addon-Manager,https://github.com/Lund259/WoW-Addon-Manager,no,no,no,yes,GUI,yes,no,no,yes,GPL-3.0,yes,no,no,C#,no,no,no,no,no,no
Mangmasta/MangManager,https://github.com/Mangmasta/MangManager,no,yes*,yes*,yes*,CLI,yes,yes,no,no,noassertion,yes,no,no,C++,yes,no,no,no,no,no
Minion,https://minion.mmoui.com/,no,yes*,yes,yes,GUI,yes,yes,no,no,noassertion,no,yes,yes,Java,no,yes,no,no,yes,no
Morganstern/AddonManager,https://github.com/Morganstern/AddonManager,no,no,no,yes*,GUI,yes,no,no,yes,ISC,yes,no,no,C#,yes,no,yes,no,no,no
nazarov-tech/wowa,https://github.com/bruno-gelb/wowa,no,yes*,yes*,yes*,CLI,yes,no,no,yes,MIT,yes,no,no,Python,yes,no,no,no,no,no
OpenAddOnManager,https://github.com/OpenAddOnManager/OpenAddOnManager,no,no,no,yes,GUI,yes,no,no,yes,Apache-2.0,yes,no,no,C#,no,no,no,no,no,no
padakuro/wowaceapt,https://github.com/padakuro/wowaceapt,no,no,no,yes*,CLI,yes,no,no,no,noassertion,yes,no,no,C#,no,no,no,no,yes,no
Phanx/wow-addon-updater,https://github.com/Phanx/wow-addon-updater,no,yes*,no,no,CLI,yes,no,no,yes,Zlib,yes,no,no,Lua,yes,yes,no,no,no,no
qwezarty/wow-addon-manager,https://github.com/qwezarty/wow-addon-manager,no,yes*,no,no,CLI,yes,no,no,yes,MIT,yes,no,no,Python,yes,no,no,no,yes,no
Roemer/Waddu,https://github.com/Roemer/Waddu,no,no,no,yes,GUI,yes,no,no,no,noassertion,yes,no,no,C#,yes,yes,no,no,no,no
Saionaro/wow-addons-updater,https://github.com/Saionaro/wow-addons-updater,no,yes*,yes*,yes*,GUI,yes,no,no,yes,MIT,yes,no,no,TypeScript,yes,no,no,no,yes,no
salindersidhu/wam,https://github.com/salindersidhu/wam,no,yes*,yes*,yes*,CLI,yes,no,no,yes,MIT,yes,no,no,Go,yes,no,no,no,yes,no
SaulLawliet/manage-wow-addons,https://github.com/SaulLawliet/manage-wow-addons,no,yes*,yes*,no,CLI,yes,no,no,no,noassertion,yes,no,no,Python,yes,no,no,no,no,no
SeriousBug/WoWutils,https://github.com/SeriousBug/WoWutils,no,yes*,no,no,CLI,yes,no,no,yes,GPL-3.0,yes,no,no,Shell,yes,no,no,no,no,no
Tharre/pywamgr,https://github.com/Tharre/pywamgr,no,yes*,yes*,yes*,CLI,yes,no,no,yes,MIT,yes,no,no,Python,yes,no,no,no,no,no
vargen2/addonmanager,https://github.com/vargen2/addonmanager,no,no,no,yes*,GUI,yes,no,no,yes,MIT,yes,no,no,Java,yes,no,no,no,yes,no
